,Validation Predicted
540,359490.1022815041
541,325838.36257013323
542,210775.40771044148
543,376815.9399859887
544,1257082.9490310291
545,1056565.495197225
546,942489.5216989346
547,542843.4791250016
548,1191822.8467325752
549,213225.46857954637
550,952223.9879347337
551,1311170.6186016113
552,457372.1231440236
553,448810.6056865619
554,429782.89561169775
555,963067.8174334981
556,466906.9523543209
557,1713390.7046534799
558,327542.90379276965
559,2073464.1322687399
560,471061.1523553126
561,1194592.110663598
562,456820.9282312254
563,1222231.2018529435
564,393877.45797774673
565,896239.4812930312
566,529750.3280825238
567,1256087.3830633666
568,713710.9401672588
569,166464.23761565084
570,706137.2696463917
571,327549.3198694282
572,561706.7774502328
573,321869.37136859895
574,308275.4653333455
575,1565379.0351727465
576,280224.94215447165
577,637718.580995899
578,1333005.6183130802
579,325262.09631546354
580,327542.90379276965
581,1807815.428381331
582,1048366.7004729612
583,698773.8007020466
584,883909.4351351747
585,1166030.2741284824
586,364880.2105251241
587,662379.1174786726
588,274125.97703412606
589,489303.9865907529
590,953278.8350665106
591,135734.16485220921
592,1484900.2164502165
593,290455.56916313095
594,320887.92155963485
595,347197.77865710383
596,429041.8384009212
597,612623.2987964216
598,182589.32985776168
599,308071.49145872757
600,1744448.5163930955
601,521568.4782649882
602,364054.85031224653
603,624059.0304577111
604,355099.88342482934
605,1230448.7159720287
606,1544000.5209649773
607,331118.8028345553
608,995614.3668087757
609,304773.5837891834
610,950680.3127527818
611,1086531.6388386935
612,489303.9865907529
613,949591.4254354872
614,1605005.431289565
615,944033.1968808866
616,899756.8041042235
617,954822.5102484626
618,329325.4852199519
619,1066772.9076991675
620,1556498.0031916045
621,957787.2380289517
622,952223.9879347337
623,686303.3934962645
624,1372222.3767264504
625,489303.9865907529
626,716953.7098614977
627,954822.5102484626
628,511920.99865840835
629,412028.67583086697
630,537489.8783146343
631,1280971.6096336453
632,489303.9865907529
633,1678682.3838376396
634,435482.64760364516
635,378393.4158747369
636,966094.2530575002
637,448810.6056865619
638,461616.51924511755
639,1776662.9043587456
640,489303.9865907529
641,336157.3339199884
642,1580771.8184563904
643,489303.9865907529
644,455018.4674998823
645,1707326.4080550184
646,980848.7651664689
647,1760804.5080072847
648,1132535.8135262902
649,1057765.6762088826
650,422471.1717129446
651,437335.4774909184
652,486184.87618690816
653,913209.1473026776
654,300010.0379373134
655,281410.58228677005
656,320002.5314906379
657,537994.3858140161
658,130462.59819982095
659,559362.1019633017
660,549072.2684173766
661,426911.34462200594
662,320645.6334535892
663,930500.1572355699
664,309434.8946203578
665,51684.16717220794
666,327788.1382915118
667,654640.4015390428
668,325838.36257013323
669,758132.5387007514
670,954822.5102484626
671,818665.5115973176
672,489303.9865907529
673,316966.9626724545
674,489303.9865907529
675,571904.7938007961
676,318861.9247970096
677,1343658.9996257704
678,707391.9749355449
679,761481.4280048433
680,1264522.2222222222
681,954822.5102484626
682,466205.40960282006
683,334773.88452333596
684,909537.4999999999
685,454439.73541020654
686,1019159.436750075
687,954822.5102484626
688,447125.93970723345
689,113292.93888701223
690,2194033.865606231
691,777108.9454316325
692,324259.32638629293
693,266346.32374578324
694,1076928.7306066623
695,370036.11658261006
696,321631.27635705826
697,1126329.5177148758
698,569827.3739558394
699,566587.8532603761
700,983862.865387526
701,1162052.1994310631
702,365562.77258660796
703,810862.0850292871
704,1304587.5
705,512756.11834017845
706,324754.89768438844
707,332419.588676284
708,677947.8575814934
709,88957.51683039179
710,489303.9865907529
711,320534.15422929643
712,489303.9865907529
713,1138790.0651304466
714,589174.9983805644
715,323577.56636866624
716,221972.6968940443
717,451455.23311317613
718,1296850.378899016
719,1535008.1966751337
720,952223.9879347337
721,358912.7996728844
722,400549.82343572273
723,483931.1416819034
724,1199844.6660396592
725,905825.1307162303
726,700044.4837282385
727,336803.92282720713
728,997878.9937451971
729,822418.4386878565
730,1673745.604786028
731,100165.39175639163
732,1268555.499668716
733,315869.8405446926
734,489303.9865907529
735,400549.82343572273
736,451455.23311317613
737,1187516.4846658339
738,1354469.6389105434
739,961952.0555618193
740,747896.641150525
741,1368867.3204985985
742,726306.5276924628
743,2103054.219401436
744,312578.790642831
745,458113.4612801325
746,455174.9675564894
747,279655.99117297895
748,148326.3720686759
749,1707694.4972636458
750,1391251.578430381
751,1616420.903784257
752,977974.1084755633
753,1209263.1082963906
754,773149.9919079092
755,489303.9865907529
756,318686.84673501545
757,275329.53335613856
758,407387.7950285061
759,1020763.7596671868
760,186495.14969235458
761,489303.9865907529
762,260765.37641318358
763,321970.46370495734
764,398609.9779766888
765,93565.70238156157
766,1209501.4732593854
767,1167205.2103148429
768,1020763.7596671868
769,326737.95095960837
770,392822.48334477213
771,1411978.0835366854
772,421021.03033897857
773,1491916.2733839764
774,1677477.8887152516
775,451693.9296861235
776,321869.37136859895
777,489303.9865907529
778,486748.6191619458
779,184619.23935688604
780,445509.5896832843
781,720304.2812711382
782,459985.4964078678
783,1496123.0020120183
784,1258360.685013597
785,995614.3668087757
786,466442.75768714806
787,266292.82980665704
788,717320.6822094809
789,684711.3920171796
790,961720.6443884448
791,119901.7453098218
792,320534.15422929643
793,601548.564885247
794,401521.4000035651
795,484175.0119515074
796,354126.94260491716
797,92337.64136963985
798,402056.93759769085
799,1009385.7794376411
800,1454223.064862526
801,477547.80880317255
802,1205788.0956656593
803,430801.72132190573
